date,hospital,cylinder,units
1/01/2017,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/01/2017,Bentley Hospital,cylinder_e,2
1/01/2017,Fiona Stanley Hospital,cylinder_f8,2
1/01/2017,Kalamunda District Community Hospital,cylinder_e,2
1/01/2017,Osborne Park Hospital,cylinder_g,4
1/01/2017,Rockingham General Hospital,cylinder_f8,1
1/01/2017,Sir Charles Gairdner Hospital,cylinder_c,1
1/02/2017,King Edward Memorial Hospital For Women,cylinder_g,8
1/02/2017,Osborne Park Hospital,cylinder_g,4
1/03/2017,Bentley Hospital,cylinder_e,4
1/03/2017,Fiona Stanley Hospital,cylinder_f8,1
1/03/2017,King Edward Memorial Hospital For Women,cylinder_g,8
1/03/2017,Osborne Park Hospital,cylinder_g,4
1/03/2017,Royal Perth Hospital,cylinder_f8,1
1/03/2017,Royal Perth Hospital,cylinder_c,1
1/03/2017,Sir Charles Gairdner Hospital,cylinder_c,1
1/03/2017,Sir Charles Gairdner Hospital,cylinder_d,2
1/04/2017,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/04/2017,Fiona Stanley Hospital,cylinder_f8,1
1/04/2017,Osborne Park Hospital,cylinder_g,4
1/04/2017,Rockingham General Hospital,cylinder_f8,1
1/04/2017,Sir Charles Gairdner Hospital,cylinder_d,1
1/05/2017,Bentley Hospital,cylinder_e,2
1/05/2017,King Edward Memorial Hospital For Women,cylinder_g,8
1/05/2017,Osborne Park Hospital,cylinder_g,4
1/05/2017,Perth Children's Hospital,cylinder_f8,4
1/05/2017,Royal Perth Hospital,cylinder_c,1
1/05/2017,Sir Charles Gairdner Hospital,cylinder_f8,2
1/05/2017,Sir Charles Gairdner Hospital,cylinder_c,1
1/05/2017,Sir Charles Gairdner Hospital,cylinder_d,2
1/06/2017,Osborne Park Hospital,cylinder_g,4
1/06/2017,Royal Perth Hospital,cylinder_c,1
1/06/2017,Sir Charles Gairdner Hospital,cylinder_d,1
1/07/2017,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/07/2017,Bentley Hospital,cylinder_e,2
1/07/2017,Fiona Stanley Hospital,cylinder_f8,2
1/07/2017,Kalamunda District Community Hospital,cylinder_e,2
1/07/2017,King Edward Memorial Hospital For Women,cylinder_g,8
1/07/2017,Osborne Park Hospital,cylinder_g,4
1/07/2017,Perth Children's Hospital,cylinder_g,2
1/07/2017,Rockingham General Hospital,cylinder_f8,1
1/07/2017,Royal Perth Hospital,cylinder_c,2
1/08/2017,Fiona Stanley Hospital,cylinder_f8,1
1/08/2017,Osborne Park Hospital,cylinder_g,4
1/08/2017,Perth Children's Hospital,cylinder_d,1
1/08/2017,Perth Children's Hospital,cylinder_f8,2
1/08/2017,Royal Perth Hospital,cylinder_f8,1
1/08/2017,Royal Perth Hospital,cylinder_g,3
1/08/2017,Sir Charles Gairdner Hospital,cylinder_d,-1
1/09/2017,Bentley Hospital,cylinder_e,2
1/09/2017,Fiona Stanley Hospital,cylinder_f8,2
1/09/2017,Kalamunda District Community Hospital,cylinder_e,6
1/09/2017,King Edward Memorial Hospital For Women,cylinder_g,16
1/09/2017,METRO HEALTH SERVICE BOARD,cylinder_g,5
1/09/2017,Osborne Park Hospital,cylinder_g,4
1/09/2017,Sir Charles Gairdner Hospital,cylinder_d,1
1/10/2017,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/10/2017,Bentley Hospital,cylinder_e,2
1/10/2017,Osborne Park Hospital,cylinder_g,4
1/10/2017,Sir Charles Gairdner Hospital,cylinder_d,2
1/11/2017,King Edward Memorial Hospital For Women,cylinder_g,8
1/11/2017,Osborne Park Hospital,cylinder_g,4
1/11/2017,Rockingham General Hospital,cylinder_f8,1
1/11/2017,Sir Charles Gairdner Hospital,cylinder_d,1
1/12/2017,Bentley Hospital,cylinder_e,2
1/12/2017,Royal Perth Hospital,cylinder_c,1
1/01/2018,Armadale-Kelmscott Memorial Hospital,cylinder_c,1
1/01/2018,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/01/2018,Kalamunda District Community Hospital,cylinder_e,2
1/01/2018,King Edward Memorial Hospital For Women,cylinder_g,8
1/01/2018,Osborne Park Hospital,cylinder_g,4
1/01/2018,Rockingham General Hospital,cylinder_c,4
1/01/2018,Sir Charles Gairdner Hospital,cylinder_d,2
1/02/2018,Bentley Hospital,cylinder_e,3
1/02/2018,Fiona Stanley Hospital,cylinder_f8,4
1/02/2018,King Edward Memorial Hospital For Women,cylinder_d,2
